feature_names,PC1,PC2,PC3,PC4,PC5,PC6,cluster
compositional ambient,0.005074487986567373,-0.005126183189226062,0.00522359918455562,0.00441627267040712,0.010320724103746492,0.010036520907992008,0
singer-songwriter,0.3075401991884529,-0.31813045866501577,-0.19287748495695664,0.027157000523540902,0.2943002907481944,0.05059779956169891,5
synthpop,0.0003802815903942058,-0.01667025949547488,0.02088558012547902,0.016648820657513264,-0.015140269820884573,0.03526226083155143,0
shoegaze,0.0431440262768301,0.022788448468095166,0.039512527104462264,-0.016249760910504646,-0.07294297956107115,0.10667348323990909,0
scottish shoegaze,0.0023071262545305755,0.0011958851289835858,0.0072826290227121365,0.003903739959984013,-0.005589501515531391,0.02197336074047496,0
scottish indie,0.005169343418899474,0.0002669438742178427,0.004711097176308814,0.0026671769089138815,-0.00787219415020948,0.02033398112860769,0
new wave,0.01657464280812128,-0.0515793681761268,0.03589579403561952,0.028822615423354576,-0.03782306647197111,0.047448288763411776,0
icelandic rock,0.0006851050862761502,0.0010499833603886555,0.002027058967386421,-0.0005805225078905509,0.001622202627329266,0.0009294029824219224,0
icelandic pop,0.0009021506820831593,0.0012511919793126414,0.007086129636135214,-4.859012874614965e-06,0.0019275067672589236,0.011128762410799105,0
permanent wave,0.15892768544862468,-0.22625528777028267,0.1699658340030695,0.0950683831256621,-0.13747501196974288,0.11313262272933569,5
garage rock,0.012725273883861613,-0.006165319462674843,0.05944002580466504,0.013124409077787441,-0.034078502690665785,-0.020928202219626078,0
baltimore indie,0.013207203345290434,0.033654100448867394,9.67263649835156e-05,0.00757295121110208,0.0027540210594760046,0.025027504243708344,0
dreamo,0.012426473152285053,0.016216217406594676,0.012789224963837621,0.0038201056249820577,-0.015487058799865505,0.03797873450396709,0
alternative dance,0.0025516449578379206,0.006369930436401304,0.0912925499703678,0.008217166292704267,-0.016479792103046984,-0.02321042909361505,0
dance-punk,0.006513517323272817,0.0068438573236265085,0.0522770937921301,0.006924198574821456,-0.014501166287394545,-0.008919616386031054,0
modern rock,0.09806374783374398,0.004196433144294116,0.3029975496883561,0.08800308061120858,-0.15482959235331736,-0.3108751334651112,2
icelandic singer-songwriter,0.00014436061958809872,0.0011791345735587793,0.006263758711385885,0.0008855620995670751,0.0017193295252229763,0.011729501010001343,0
new rave,0.00361092301365571,0.004800026854722706,0.0584444960796993,0.009073286880556522,-0.012423608095503897,-0.007899023940449263,0
experimental vocal,0.00014436061958809872,0.0011791345735587793,0.006263758711385885,0.0008855620995670751,0.0017193295252229763,0.011729501010001343,0
icelandic experimental,0.00014436061958809872,0.0011791345735587793,0.006263758711385885,0.0008855620995670751,0.0017193295252229763,0.011729501010001343,0
etherpop,0.007062094081768712,0.02575951935566505,0.05390340477609645,0.030951447368223153,0.0498383936821235,0.022150847659512925,0
neo-psychedelic,0.006919002578912171,0.009732025271255692,0.042891723034080814,0.002832347483529591,-0.005323671407177022,0.005102750270786317,0
latinx alternative,-0.0012660612940176839,0.00043705274147290754,-0.0009165484525398385,-0.0006036150315222455,-0.00023444664317360132,0.0010477354945595317,0
deep latin alternative,-0.00042127071754251955,0.0007795211306825129,-0.0009777047437849469,-0.0005993489632954378,0.0019387727783641959,0.005297361907379069,0
uk alternative pop,-0.012063131372341161,0.01311082326997572,0.016836109243172342,-0.002486983829589586,0.028919482196860247,0.041811521645922216,0
world,-0.0006902776608247107,0.00071346267057603,0.003104120944213526,-0.00023434096812077269,0.0018061278486491913,0.002457057440225379,0
rap,-0.11120162464614029,-0.02693736413641298,0.07288444720064907,-0.27074205163160686,0.11797104797103067,0.03561448405111466,0
hip hop,-0.11001783346370543,-0.030292448238229887,0.07170395242307868,-0.28023846244770323,0.11485708727626324,0.04093194536705866,0
underground hip hop,-0.01568918054230716,-0.004554177794079429,0.008268120954578668,-0.04481920149474271,0.013700220703238336,0.011009240440185548,0
grimewave,-0.0015878182526991847,0.0007539612037721635,0.002058023309530924,0.00039590246636662414,0.004049982594243881,0.0027817952199505397,0
electra,-0.002942025342179106,0.0052903004472859205,0.00415699659376094,0.00035879777254901743,0.009307934036562486,0.01524778238113415,0
industrial hip hop,-0.0016220199356970087,-0.0003457193580755228,0.000913933878050994,-0.004546461670927293,0.002100172139844513,0.001938581881758109,0
experimental hip hop,-0.005763942055430956,0.0006923699649755547,0.00705428931218294,-0.011305650296273529,0.01031872499513413,0.007089502101372964,0
alternative hip hop,-0.0217763912501165,-0.006200627479504774,0.01942705068572649,-0.04828800069121461,0.021455326335147393,0.006399778249424291,0
future garage,-0.0038930388188435027,0.000601903163846186,0.006222454113593019,-0.0024694710617539687,0.005262326519753425,0.004643801030507178,0
conscious hip hop,-0.04949712687256742,-0.019631787680143287,0.03215887410759035,-0.13518340218488645,0.042694491059179406,0.015654276830485075,0
pop rap,-0.02248728536582423,-0.004938043297333791,0.017416707616428606,-0.05633777339994876,0.02359875090736736,0.007079048116679965,0
chicago rap,-0.02589873796041193,-0.008398539436924212,0.017863602159638527,-0.06444503244027515,0.0238550191546608,0.006185140311697253,0
la indie,0.024161786447982583,0.022000456769270083,-0.009647417595085313,0.025220672644350555,0.0018982860142627768,-0.0427789112640744,0
australian pop,-0.006588277535600001,0.004014882936856027,0.005836004167134944,0.011269889658912468,0.007297121707358156,-0.012938942856012079,0
viral pop,-0.005389720121950955,0.0034512791117994246,0.004940968043726295,0.008316772097569576,0.007780871534162615,-0.014895118479284833,0
indie poptimism,-0.0370160228567539,0.014636277179491756,0.03682047179618819,0.08530462431230289,0.03163130301616513,-0.08820075012650042,2
vapor soul,-0.013935596238183547,0.009842807174025239,0.012282647562594303,0.02582711867716597,0.009379503968136065,-0.018521508550933954,0
stutter house,-0.000932327588204293,0.0007640631214169188,0.0013009498865419482,0.0004489677001847871,0.0027488790502638843,0.002431261340389485,0
house,-0.00270436254552501,0.00134710716109137,0.004289022536169492,0.0026109003219279905,0.005007619501683704,-0.0002507465136174783,0
edm,-0.0052697686909762105,0.0009949361365021543,0.005994013732205919,-0.002791809795009382,0.008092091369869563,0.003185498167999414,0
dark synthpop,-0.0009914094353210133,0.0007528589084254004,0.0011641808064071176,0.0012571192831339099,0.002154038950359537,0.0013723278511683212,0
chill dream pop,0.0014585174382548297,0.0042000656030638335,-0.0013815171650179894,0.00572537609804725,0.0002478021093157344,-0.0013749729519222176,0
channel islands indie,-0.0010009984866051036,0.0009893280132278097,0.001457027964283253,0.0008538736200369636,0.0022222659625872766,0.0012564762250419624,0
nz pop,-0.003786063173115093,0.010043091678136022,0.01064630871707322,0.02025754973038828,0.02619078825457525,-0.0008576655812715539,0
rock,0.1313307816307685,-0.34078707616614135,0.18694499552599048,0.25837573970732275,-0.158148090155631,0.06065115666634037,5
modern blues rock,0.0004384914123152866,-0.007954831909893366,0.00535023440509133,0.0017833619851337825,-0.010235428290177009,0.0006857726971886035,0
alabama indie,0.0029458827814620955,0.001940942953590762,-0.00575228999940998,-0.00020828653151082894,-0.008090543575394162,0.0013777384425226091,0
soul,-0.027781232187335792,-0.03212405957704595,0.005907370243196255,-0.035218957282552664,0.028046418004304463,0.027399966098796406,0
quiet storm,-0.008117135398037439,-0.005973312632100354,0.0013946512129450763,-0.010768093089287658,0.00800120744446941,0.009774175906395228,0
motown,-0.0067460580165565375,-0.011409572515308988,-0.0002105946659987346,-0.003979570672356394,0.008269960681113343,0.009623995709344874,0
funk,-0.014888669818803355,-0.014576861467825213,0.00541721363256862,-0.013276164440928597,0.011013948253189935,0.012297069729723097,0
disco,-0.00603243438737025,-0.00995901861681008,0.0015750805115972246,-0.00327915779094813,0.005675086099914934,0.01096530335313691,0
classic soul,-0.006659088445880571,-0.004295671208644375,0.001913129043668609,-0.006747750991464854,0.006974883468909345,0.006677143079049076,0
sophisti-pop,0.0003377598842806051,-0.00829381588331948,0.0057277610028391695,0.003662956515208962,-0.0009873513049289387,0.009543951142534007,0
uk funky,-0.0003760765892266935,0.00014636480200600548,8.704417256785661e-05,0.00032457410760375674,0.0005202996485411777,0.0005908885296511747,0
brooklyn indie,0.04375261872488019,0.040684293436687,0.007950439939068793,-0.016294971963350707,0.0024916396703757596,0.02370327878347954,0
scottish hip hop,-0.0016695691510402878,0.0006665154033255784,0.0008308713105781741,-0.001989472539652228,0.0031803419999063224,0.004553069711238909,0
chamber psych,-0.0011810871646996779,-0.00020461342066344047,0.000412360341406904,0.0003567773437145751,0.0035156136216636857,0.010949910668133644,0
abstract hip hop,-0.005916480936504631,-0.0017518099685834931,0.006854257042574628,-0.010827349287206483,0.007565497469454253,0.008210590484678853,0
uk post-punk revival,0.0007788186250794236,0.004578699274514367,0.0035731209955823964,-0.0042646577440107695,-0.009452324776516639,0.010587300946047202,0
new york shoegaze,-0.0008356386990153656,0.00024741950591094055,-0.0005905215330556011,-0.0005681988199387361,-0.0014525410350034206,0.0016672218351012412,0
countrygaze,0.08571735176571799,0.13154016237583466,-0.26743963289582945,-0.08723630258353707,-0.222261890000113,0.09831977999740509,3
shimmer pop,-0.015408932233535651,0.03000310738005117,0.0920125858397438,0.038014169532783575,0.03502860251523422,-0.04571169170323135,0
nyc pop,-0.01710678629391006,0.006430273642508009,0.01567870993047423,0.019042598005330057,0.016641547478808597,-0.022858973400791315,0
australian hip hop,-0.0008014139295499928,0.00012827425765905354,0.00023436147146895628,0.001428602463567293,0.0004206043836582912,-0.0017308761834021276,0
canadian contemporary r&b,-0.014348511418045997,-0.0009409130664456478,0.0071435479280168735,-0.011359861399402649,0.012611083059906558,0.0030026700420425555,0
canadian pop,-0.016906167980618666,0.005188280913306188,0.011741849761137287,0.03942005799770821,0.031594467356594415,-0.04822509207826875,0
r&b en espanol,-0.0005600770129655017,0.00043264144002026674,0.0011337421496649713,-0.0009183468812395139,0.0012715074895338642,0.00045954203556063594,0
country dawn,0.0003503067487588594,-0.01547248677586775,-0.012480310421559048,0.007225273505084017,0.010247744865326144,5.566303751633664e-06,0
country,-0.0016309923484589992,-0.014723567604325296,-0.012837247098048567,0.0058493706609482115,0.0035328843685418798,-0.002678217672402469,0
contemporary country,-0.00191732632500617,-0.010303699774654252,-0.0088563778518527,0.007140222564322799,0.0057926682231426024,-0.006431250272754762,0
lilith,0.10104551111963264,-0.08696175446806491,-0.057304763071797,-0.007517421447502169,0.07385265504205744,-0.08505563395450685,0
canadian country,0.0010404820192199814,-0.004183972768865627,-0.0016797528803456122,-0.0003165002790641244,-0.002443427638051361,-0.00013779126973292852,0
mellow gold,0.05947644200008265,-0.22895963439859154,-0.048516035782949794,0.13724708267473734,0.04794657753357961,0.1237704093931547,5
heartland rock,0.006234333364145947,-0.022450817463449176,-0.011892141442234706,0.01484228745323276,0.0028651707781762264,0.01446429190566118,0
pop rock,0.007698905550400615,-0.04526867675327372,0.0009333033447936172,0.019182596206564043,-0.029931119861105315,-0.012957106146227502,0
new wave pop,0.013950566506962081,-0.06227345034413543,0.008999004980774473,0.03533911133373131,-0.0014366478745209447,0.01829235507598732,0
classic texas country,0.000703760434228365,-0.01043308475138551,-0.008240574509612637,0.004911281527465452,0.010313640015329825,-0.001157609399783325,0
